serial_no,issue_date,file_number,company_name,equipment,certificate_no,online_application_no,pdf_url
264,2026-06-02,I-21/170/2026-W&M Section,V-TECH INNOVATIONS,Flow Meters,264,23877,https://lm.doca.gov.in/ModelApproval/Certificates/2026/264.pdf
265,2026-06-03,I-21/165/2026-W&M Section,MADHUR SOLUTIONS,Non-automatic weighing instrument,265,24122,https://lm.doca.gov.in/ModelApproval/Certificates/2026/265.pdf
266,2026-06-03,I-21/165/2026-W&M Section,MADHUR SOLUTIONS,Non-automatic weighing instrument,266,24123,https://lm.doca.gov.in/ModelApproval/Certificates/2026/266.pdf
267,2026-06-03,I-21/168/2026-W&M Section,BIZERBA INDIA Pvt. Ltd.,Non-automatic weighing instrument,267,24057,https://lm.doca.gov.in/ModelApproval/Certificates/2026/267.pdf
268,2026-06-03,I-21/169/2026-W&M Section,SHRI LAKSHMI VENKATESWARA WEIGHING SCALES,Non-automatic weighing instrument,268,24037,https://lm.doca.gov.in/ModelApproval/Certificates/2026/268.pdf
269,2026-06-03,I-21/154/2026-W&M Section,E.G Kantawalla Pvt Ltd,Non-automatic weighing instrument,269,23372,https://lm.doca.gov.in/ModelApproval/Certificates/2026/269.pdf
270,2026-06-03,I-21/325/2024-W&M Section,IV INNOVATIONS PRIVATE LIMITED,Any other Weight or Measure,270,18707,https://lm.doca.gov.in/ModelApproval/Certificates/2026/270.pdf
271,2026-06-03,I-21/325/2024-W&M Section,IV INNOVATIONS PRIVATE LIMITED,Any other Weight or Measure,271,18709,https://lm.doca.gov.in/ModelApproval/Certificates/2026/271.pdf
272,2026-06-04,I-21/173/2026-W&M Section,ADCO DIGITAL SYSTEMS,Non-automatic weighing instrument,272,23520,https://lm.doca.gov.in/ModelApproval/Certificates/2026/272.pdf
273,2026-06-04,I-21/167/2026-W&M Section,WEIGHTRONICS AND SOLUTIONS,Non-automatic weighing instrument,273,23684,https://lm.doca.gov.in/ModelApproval/Certificates/2026/273.pdf
274,2026-06-04,I-21/160/2026-W&M Section,GEMINI SCALES & EQUIPMENT,Non-automatic weighing instrument,274,24067,https://lm.doca.gov.in/ModelApproval/Certificates/2026/274.pdf
275,2026-06-04,I-21/172/2026-W&M Section,RETRO TRADE SOLUTIONS,Non-automatic weighing instrument,275,23850,https://lm.doca.gov.in/ModelApproval/Certificates/2026/275.pdf
276,2026-06-10,I-21/91/2026-W&M Section,SAFE AUTOMATION PRIVATE LIMITED,Catch Weighing Instrument (Check Weigher),276,24019,https://lm.doca.gov.in/ModelApproval/Certificates/2026/276.pdf
277,2026-06-10,I-21/178/2026-W&M Section,BMD GLOBAL TECHNOLOGIES PRIVATE LIMITED,Any other Weight or Measure,277,24096,https://lm.doca.gov.in/ModelApproval/Certificates/2026/277.pdf
278,2026-06-11,I-21/175/2026-W&M Section,AGRA BALANCE MANUFACTURING COMPANY,Non-automatic weighing instrument,278,24074,https://lm.doca.gov.in/ModelApproval/Certificates/2026/278.pdf
279,2026-06-11,I-21/175/2026-W&M Section,AGRA BALANCE MANUFACTURING COMPANY,Non-automatic weighing instrument,279,24075,https://lm.doca.gov.in/ModelApproval/Certificates/2026/279.pdf
280,2026-06-11,I-21/177/2026-W&M Section,JIVAN NAGJI AND COMPANY (INDIA) PRIVATE LIMITED,Non-automatic weighing instrument,280,24132,https://lm.doca.gov.in/ModelApproval/Certificates/2026/280.pdf
281,2026-06-11,I-21/176/2026-W&M Section,A ONE SALES,Non-automatic weighing instrument,281,23836,https://lm.doca.gov.in/ModelApproval/Certificates/2026/281.pdf
282,2026-06-12,I-21/174/2026-W&M Section,METTLER-TOLEDO INDIA PRIVATE LIMITED,Catch Weighing Instrument (Check Weigher),282,23629,https://lm.doca.gov.in/ModelApproval/Certificates/2026/282.pdf
